file,layer,priority,section
CLAUDE.md,File,see build plan,01_root
CODEOWNERS,File,see build plan,01_root
FILE_MANIFEST.md,File,see build plan,01_root
README.md,File,see build plan,01_root
apps/api/Dockerfile,App Config,see build plan,01_root
apps/api/jest.config.js,App Config,Wave 0/1,01_root
apps/api/nest-cli.json,App Config,see build plan,01_root
apps/api/package.json,App Config,see build plan,01_root
apps/api/src/app.module.ts,File,see build plan,01_root
apps/api/src/main.ts,File,see build plan,01_root
apps/api/src/router.v1.ts,File,see build plan,01_root
apps/api/src/shared/constants/limits.ts,File,see build plan,01_root
apps/api/src/shared/errors/app-error.ts,File,see build plan,01_root
apps/api/src/shared/errors/error-codes.ts,File,see build plan,01_root
apps/api/src/shared/pagination/cursor.ts,File,see build plan,01_root
apps/api/src/shared/types/common.ts,File,see build plan,01_root
apps/api/src/shared/utils/dates.ts,File,see build plan,01_root
apps/api/src/shared/utils/money.ts,File,see build plan,01_root
apps/api/src/shared/utils/phone.ts,File,see build plan,01_root
apps/api/test/e2e/smoke.e2e-spec.ts,File,see build plan,01_root
apps/api/test/factories/index.ts,File,see build plan,01_root
apps/api/test/integration/db-connection.int-spec.ts,File,see build plan,01_root
apps/api/test/tenant-isolation.global.e2e.ts,File,see build plan,01_root
apps/api/tsconfig.json,App Config,Wave 0/1,01_root
docker-compose.yml,File,see build plan,01_root
package.json,App Config,see build plan,01_root
pnpm-workspace.yaml,File,see build plan,01_root
tools/codegen/generate-module.ts,File,see build plan,01_root
tools/codegen/generate-sdk.ts,File,see build plan,01_root
tools/eslint-rules/README.md,File,see build plan,01_root
tools/scripts/check-module-boundaries.ts,File,see build plan,01_root
tools/scripts/screen-coverage.ts,File,see build plan,01_root
tools/scripts/verify-structure.sh,File,see build plan,01_root
turbo.json,File,see build plan,01_root
apps/api/src/core/README.md,API Core · core,Wave 0/1,02_api_core
apps/api/src/core/audit/audit.decorator.ts,API Core · audit,Wave 0/1,02_api_core
apps/api/src/core/audit/audit.module.ts,API Core · audit,Wave 0/1,02_api_core
apps/api/src/core/audit/audit.writer.ts,API Core · audit,Wave 0/1,02_api_core
apps/api/src/core/auth/auth.guard.ts,API Core · auth,Wave 0/1,02_api_core
apps/api/src/core/auth/auth.module.ts,API Core · auth,Wave 0/1,02_api_core
apps/api/src/core/auth/jwt.strategy.ts,API Core · auth,Wave 0/1,02_api_core
apps/api/src/core/auth/otp.service.ts,API Core · auth,Wave 0/1,02_api_core
apps/api/src/core/auth/refresh-token.service.ts,API Core · auth,Wave 0/1,02_api_core
apps/api/src/core/backpressure/README.md,API Core · backpressure,Wave 0/1,02_api_core
apps/api/src/core/backpressure/concurrency-limiter.ts,API Core · backpressure,Wave 0/1,02_api_core
apps/api/src/core/backpressure/load-shedder.ts,API Core · backpressure,Wave 0/1,02_api_core
apps/api/src/core/backpressure/priority-classifier.ts,API Core · backpressure,Wave 0/1,02_api_core
apps/api/src/core/backpressure/queue-depth-guard.ts,API Core · backpressure,Wave 0/1,02_api_core
apps/api/src/core/bulk/README.md,API Core · bulk,Wave 0/1,02_api_core
apps/api/src/core/bulk/bulk-job.controller.ts,API Core · bulk,Wave 0/1,02_api_core
apps/api/src/core/bulk/bulk-job.service.ts,API Core · bulk,Wave 0/1,02_api_core
apps/api/src/core/bulk/bulk-result.store.ts,API Core · bulk,Wave 0/1,02_api_core
apps/api/src/core/bulk/csv-import.processor.ts,API Core · bulk,Wave 0/1,02_api_core
apps/api/src/core/cache/cache-keys.ts,API Core · cache,Wave 0/1,02_api_core
apps/api/src/core/cache/cache.module.ts,API Core · cache,Wave 0/1,02_api_core
apps/api/src/core/cache/redis.provider.ts,API Core · cache,Wave 0/1,02_api_core
apps/api/src/core/cells/README.md,API Core · cells,Wave 0/1,02_api_core
apps/api/src/core/cells/cell-registry.ts,API Core · cells,Wave 0/1,02_api_core
apps/api/src/core/cells/cell-resolver.ts,API Core · cells,Wave 0/1,02_api_core
apps/api/src/core/config/app-config.ts,API Core · config,Wave 0/1,02_api_core
apps/api/src/core/config/config.module.ts,API Core · config,Wave 0/1,02_api_core
apps/api/src/core/config/env.validation.ts,API Core · config,Wave 0/1,02_api_core
apps/api/src/core/database/database.module.ts,API Core · database,Wave 0/1,02_api_core
apps/api/src/core/database/partition-pruning.util.ts,API Core · database,Wave 0/1,02_api_core
apps/api/src/core/database/pg-pool.provider.ts,API Core · database,Wave 0/1,02_api_core
apps/api/src/core/database/read-only.decorator.ts,API Core · database,Wave 0/1,02_api_core
apps/api/src/core/database/read-replica.provider.ts,API Core · database,Wave 0/1,02_api_core
apps/api/src/core/database/rls-session.ts,API Core · database,Wave 0/1,02_api_core
apps/api/src/core/database/transaction.decorator.ts,API Core · database,Wave 0/1,02_api_core
apps/api/src/core/database/uuid.util.ts,API Core · database,Wave 0/1,02_api_core
apps/api/src/core/feature-flags/flags.guard.ts,API Core · feature-flags,Wave 0/1,02_api_core
apps/api/src/core/feature-flags/flags.module.ts,API Core · feature-flags,Wave 0/1,02_api_core
apps/api/src/core/feature-flags/flags.service.ts,API Core · feature-flags,Wave 0/1,02_api_core
apps/api/src/core/health/health.controller.ts,API Core · health,Wave 0/1,02_api_core
apps/api/src/core/health/readiness.indicator.ts,API Core · health,Wave 0/1,02_api_core
apps/api/src/core/http/cursor-pagination.ts,API Core · http,Wave 0/1,02_api_core
apps/api/src/core/http/exception.filter.ts,API Core · http,Wave 0/1,02_api_core
apps/api/src/core/http/rate-limit.guard.ts,API Core · http,Wave 0/1,02_api_core
apps/api/src/core/http/request-id.middleware.ts,API Core · http,Wave 0/1,02_api_core
apps/api/src/core/http/response.interceptor.ts,API Core · http,Wave 0/1,02_api_core
apps/api/src/core/i18n/i18n.module.ts,API Core · core,Wave 0/1,02_api_core
apps/api/src/core/i18n/language.middleware.ts,API Core · core,Wave 0/1,02_api_core
apps/api/src/core/i18n/translation.service.ts,API Core · core,Wave 0/1,02_api_core
apps/api/src/core/idempotency/idempotency.middleware.ts,API Core · idempotency,Wave 0/1,02_api_core
apps/api/src/core/idempotency/idempotency.store.ts,API Core · idempotency,Wave 0/1,02_api_core
apps/api/src/core/media/media-links.service.ts,API Core · media,Wave 0/1,02_api_core
apps/api/src/core/media/media.module.ts,API Core · media,Wave 0/1,02_api_core
apps/api/src/core/media/s3-presign.service.ts,API Core · media,Wave 0/1,02_api_core
apps/api/src/core/media/scan-webhook.controller.ts,API Core · media,Wave 0/1,02_api_core
apps/api/src/core/outbox/event-envelope.ts,API Core · outbox,Wave 0/1,02_api_core
apps/api/src/core/outbox/outbox.module.ts,API Core · outbox,Wave 0/1,02_api_core
apps/api/src/core/outbox/outbox.writer.ts,API Core · outbox,Wave 0/1,02_api_core
apps/api/src/core/quota/limit-alerts.ts,API Core · quota,Wave 0/1,02_api_core
apps/api/src/core/quota/quota.guard.ts,API Core · quota,Wave 0/1,02_api_core
apps/api/src/core/quota/usage-meter.service.ts,API Core · quota,Wave 0/1,02_api_core
apps/api/src/core/rbac/permissions.decorator.ts,API Core · rbac,Wave 0/1,02_api_core
apps/api/src/core/rbac/permissions.guard.ts,API Core · rbac,Wave 0/1,02_api_core
apps/api/src/core/rbac/rbac.module.ts,API Core · rbac,Wave 0/1,02_api_core
apps/api/src/core/rbac/role-cache.service.ts,API Core · rbac,Wave 0/1,02_api_core
apps/api/src/core/resilience/README.md,API Core · resilience,Wave 0/1,02_api_core
apps/api/src/core/resilience/bulkhead.ts,API Core · resilience,Wave 0/1,02_api_core
apps/api/src/core/resilience/circuit-breaker.ts,API Core · resilience,Wave 0/1,02_api_core
apps/api/src/core/resilience/fallback.registry.ts,API Core · resilience,Wave 0/1,02_api_core
apps/api/src/core/resilience/retry.ts,API Core · resilience,Wave 0/1,02_api_core
apps/api/src/core/resilience/timeout.interceptor.ts,API Core · resilience,Wave 0/1,02_api_core
apps/api/src/core/search/index-builders/listings.index.ts,API Core · search,Wave 0/1,02_api_core
apps/api/src/core/search/index-builders/products.index.ts,API Core · search,Wave 0/1,02_api_core
apps/api/src/core/search/index-builders/workers.index.ts,API Core · search,Wave 0/1,02_api_core
apps/api/src/core/search/opensearch.client.ts,API Core · search,Wave 0/1,02_api_core
apps/api/src/core/search/search.module.ts,API Core · search,Wave 0/1,02_api_core
apps/api/src/core/sharding/README.md,API Core · sharding,Wave 0/1,02_api_core
apps/api/src/core/sharding/cross-shard-query.guard.ts,API Core · sharding,Wave 0/1,02_api_core
apps/api/src/core/sharding/directory-db.client.ts,API Core · sharding,Wave 0/1,02_api_core
apps/api/src/core/sharding/shard-map.ts,API Core · sharding,Wave 0/1,02_api_core
apps/api/src/core/sharding/shard-pool.manager.ts,API Core · sharding,Wave 0/1,02_api_core
apps/api/src/core/sharding/shard-router.ts,API Core · sharding,Wave 0/1,02_api_core
apps/api/src/core/tenancy-context/tenant-context.middleware.ts,API Core · tenancy-context,Wave 0/1,02_api_core
apps/api/src/core/tenancy-context/tenant-context.storage.ts,API Core · tenancy-context,Wave 0/1,02_api_core
apps/api/src/core/tenancy-context/tenant-resolver.ts,API Core · tenancy-context,Wave 0/1,02_api_core
apps/api/src/modules/ai-governance/README.md,Module README,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/__tests__/ai-governance.e2e-spec.ts,Test · E2E,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/__tests__/ai-model.service.spec.ts,Test · Unit/Integration,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/__tests__/tenant-isolation.spec.ts,Test · Tenant Isolation (CI GATE),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/ai-governance.module.ts,Module Wiring,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/controllers/v1/models.controller.ts,HTTP Controller v1,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/controllers/v1/review-queue.controller.ts,HTTP Controller v1,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/domain/ai-governance.events.ts,Domain · Events,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/domain/ai-inference.entity.ts,Domain · Entity,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/domain/ai-model.entity.ts,Domain · Entity,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/domain/ai-review.entity.ts,Domain · Entity,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/domain/ai-review.state.ts,Domain · State Machine,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/dto/create-ai-inference.dto.ts,DTO (create),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/dto/create-ai-model.dto.ts,DTO (create),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/dto/create-ai-review.dto.ts,DTO (create),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/dto/query-ai-inference.dto.ts,DTO (query),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/dto/query-ai-model.dto.ts,DTO (query),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/dto/query-ai-review.dto.ts,DTO (query),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/dto/update-ai-model.dto.ts,DTO (update),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/events/ai-governance.publisher.ts,Event Publisher,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/jobs/drift-watch.job.ts,Background Job,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/jobs/fairness-audit-monthly.job.ts,Background Job,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/policies/ai-governance.policies.ts,Policies,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/repositories/ai-inference.repository.ts,Repository,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/repositories/ai-model.repository.ts,Repository,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/repositories/ai-review.repository.ts,Repository,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/services/ai-inference.service.ts,Application Service (use-case),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/services/ai-model.service.ts,Application Service (use-case),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ai-governance/services/ai-review.service.ts,Application Service (use-case),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/README.md,Module README,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/__tests__/ambassador-profile.service.spec.ts,Test · Unit/Integration,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/__tests__/ambassadors.e2e-spec.ts,Test · E2E,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/__tests__/tenant-isolation.spec.ts,Test · Tenant Isolation (CI GATE),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/ambassadors.module.ts,Module Wiring,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/controllers/v1/ambassadors.controller.ts,HTTP Controller v1,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/controllers/v1/earnings.controller.ts,HTTP Controller v1,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/controllers/v1/referrals.controller.ts,HTTP Controller v1,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/domain/ambassador-earning.entity.ts,Domain · Entity,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/domain/ambassador-profile.entity.ts,Domain · Entity,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/domain/ambassadors.events.ts,Domain · Events,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/domain/commission-plan.entity.ts,Domain · Entity,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/domain/referral.entity.ts,Domain · Entity,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/domain/referral.state.ts,Domain · State Machine,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/dto/create-ambassador-earning.dto.ts,DTO (create),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/dto/create-ambassador-profile.dto.ts,DTO (create),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/dto/create-commission-plan.dto.ts,DTO (create),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/dto/create-referral.dto.ts,DTO (create),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/dto/query-ambassador-earning.dto.ts,DTO (query),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/dto/query-ambassador-profile.dto.ts,DTO (query),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/dto/query-commission-plan.dto.ts,DTO (query),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/dto/query-referral.dto.ts,DTO (query),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/dto/update-ambassador-profile.dto.ts,DTO (update),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/events/ambassadors.publisher.ts,Event Publisher,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/events/handlers/order-completed.handler.ts,Event Handler,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/events/handlers/user-onboarded.handler.ts,Event Handler,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/events/handlers/worker-onboarded.handler.ts,Event Handler,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/jobs/inactivity-watch.job.ts,Background Job,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/jobs/milestone-bonuses.job.ts,Background Job,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/jobs/weekly-payout-batch.job.ts,Background Job,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/policies/ambassadors.policies.ts,Policies,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/repositories/ambassador-earning.repository.ts,Repository,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/repositories/ambassador-profile.repository.ts,Repository,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/repositories/commission-plan.repository.ts,Repository,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/repositories/referral.repository.ts,Repository,Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/services/ambassador-earning.service.ts,Application Service (use-case),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/services/ambassador-profile.service.ts,Application Service (use-case),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/services/commission-plan.service.ts,Application Service (use-case),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/ambassadors/services/referral.service.ts,Application Service (use-case),Wave 1 · M,03_api_modules_wave1
apps/api/src/modules/auctions/README.md,Module README,Wave 1 · L,03_api_modules_wave1
apps/api/src/modules/auctions/__tests__/auction.service.spec.ts,Test · Unit/Integration,Wave 1 · L,03_api_modules_wave1
apps/api/src/modules/auctions/__tests__/auctions.e2e-spec.ts,Test · E2E,Wave 1 · L,03_api_modules_wave1
